IMPONENTE_ID;SALDOS;FECHA_CIERRE;MONTO_CUOTA
8736;28017;31/08/2020;6574
15130;93869;31/08/2020;4623
16186;151660;31/08/2020;14332
18609;40000;31/08/2020;10000
24095;101075;31/08/2020;7025
24675;121656;31/08/2020;10414
26126;100804;31/08/2020;5201
26335;110370;31/08/2020;6074
30154;33576;31/08/2020;8394
32071;103844;31/08/2020;5961
34455;67625;31/08/2020;13525
35290;20116;31/08/2020;5029
16852;0;31/08/2020;0
20233;80000;31/08/2020;0
23310;138140;31/08/2020;11628
24245;48760;31/08/2020;4690
;106754;31/08/2020;8918
1942;122860;31/08/2020;8572
5908;74081;31/08/2020;6257
6272;124085;31/08/2020;8817
35710;369045;31/08/2020;12242
9674;308302;31/08/2020;10753
25023;828305;31/08/2020;28015
4940;189532;31/08/2020;15000
27909;63799;31/08/2020;5757
8653;675681;31/08/2020;19744
15371;326254;31/08/2020;20000
26676;219389;31/08/2020;5888
5091;259710;31/08/2020;9594
30975;183751;31/08/2020;6788
32577;0;31/08/2020;0
